Delivery Time,Sorting Time,prediction,Residual,Residual^2,,delivery time,,,,
21,10,7.931,2.069,4.280761,,6.5,1.93235,,,
13.5,4,4.82825,-0.82825,0.685998063,,8,2.5529,,,
19.75,6,7.413875,-1.413875,1.999042516,,12,4.2077,,,
24,9,9.1721,-0.1721,0.02961841,,,,,,
29,10,11.2406,-1.2406,1.53908836,,,,,,
15.35,6,5.593595,0.406405,0.165165024,,,,,,
19,7,7.1036,-0.1036,0.01073296,,,,,,
9.5,3,3.17345,-0.17345,0.030084903,,,,,,
17.9,10,6.64853,3.35147,11.23235116,,,,,,
18.75,9,7.000175,1.999825,3.999300031,,,,,,
19.83,8,7.446971,0.553029,0.305841075,,,,,,
10.75,4,3.690575,0.309425,0.095743831,,,,,,
16.68,7,6.143816,0.856184,0.733051042,,,,,,
11.5,3,4.00085,-1.00085,1.001700723,,,,,,
12.03,3,4.220111,-1.220111,1.488670852,,,,,,
14.88,4,5.399156,-1.399156,1.957637512,,,,,,
13.75,6,4.931675,1.068325,1.141318306,,,,,,
18.11,7,6.735407,0.264593,0.070009456,,,,,,
8,2,2.5529,-0.5529,0.30569841,,,,,,
17.83,7,6.619571,0.380429,0.144726224,,,,,,
21.5,5,8.13785,-3.13785,9.846102623,,,,,,
,,,compute RMSE,1.249330618,,,,,,
,,,,,,,,,,
,,,,,,,,,,y = Sorting Time (predicted)
,,,,,,,,,,x = Delivery Time (input)
,,,,,,,,,,Slope = 0.4137
,,,,,,,,,,Intercept = -0.7567
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
